DIP-250N|refseq:NP_499284|uniprotkb:P41958,DIP-1016N|refseq:NP_498007|uniprotkb:P30429,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association),DIP-66E,dip-quality-status:core,dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale),['Mitochondrion'],['Mitochondrion']
DIP-25083N|refseq:NP_492334|uniprotkb:Q93716,DIP-25384N|refseq:NP_503729|uniprotkb:O61899,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41770E,dip-quality-status:,dip:0005(high throughput),,
DIP-27116N|refseq:NP_510086|uniprotkb:Q22544,DIP-26394N|refseq:NP_505065|uniprotkb:Q20375,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41772E,dip-quality-status:,dip:0005(high throughput),,
DIP-24967N|refseq:NP_509713|uniprotkb:P41830,DIP-25080N|refseq:NP_496776|uniprotkb:Q9U3F4,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41773E,dip-quality-status:,dip:0005(high throughput),['Nucleus'],"['Cytoplasm', 'Nucleus']"
DIP-24967N|refseq:NP_509713|uniprotkb:P41830,DIP-25723N|refseq:NP_498169|uniprotkb:Q21648,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41775E,dip-quality-status:,dip:0005(high throughput),['Nucleus'],
DIP-25740N|refseq:NP_503604|uniprotkb:O16356,DIP-26740N|refseq:NP_502813|uniprotkb:O62444,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41779E,dip-quality-status:,dip:0005(high throughput),,
DIP-26723N|uniprotkb:Q17489,DIP-26766N|refseq:NP_507060|uniprotkb:O45521,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41783E,dip-quality-status:,dip:0005(high throughput),,['Nucleus']
DIP-26766N|refseq:NP_507060|uniprotkb:O45521,DIP-26907N|uniprotkb:Q03563,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41784E,dip-quality-status:,dip:0005(high throughput),['Nucleus'],
DIP-27355N|refseq:NP_504370|uniprotkb:Q9GZD0,DIP-26766N|refseq:NP_507060|uniprotkb:O45521,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41785E,dip-quality-status:,dip:0005(high throughput),,['Nucleus']
DIP-26766N|refseq:NP_507060|uniprotkb:O45521,DIP-25828N|refseq:NP_510017|uniprotkb:Q18000,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41786E,dip-quality-status:,dip:0005(high throughput),['Nucleus'],
DIP-27162N|refseq:NP_496175|uniprotkb:Q09478,DIP-26766N|refseq:NP_507060|uniprotkb:O45521,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41787E,dip-quality-status:,dip:0005(high throughput),,['Nucleus']
DIP-25595N|refseq:NP_495484|uniprotkb:Q18266,DIP-26766N|refseq:NP_507060|uniprotkb:O45521,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41788E,dip-quality-status:,dip:0005(high throughput),,['Nucleus']
DIP-26766N|refseq:NP_507060|uniprotkb:O45521,DIP-26434N|refseq:NP_492825|uniprotkb:O61766,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41789E,dip-quality-status:,dip:0005(high throughput),['Nucleus'],
DIP-25830N|uniprotkb:Q93342,DIP-26766N|refseq:NP_507060|uniprotkb:O45521,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41791E,dip-quality-status:,dip:0005(high throughput),,['Nucleus']
DIP-25311N|refseq:NP_510487|uniprotkb:Q9U3I4,DIP-26766N|refseq:NP_507060|uniprotkb:O45521,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41797E,dip-quality-status:,dip:0005(high throughput),['Mitochondrion'],['Nucleus']
DIP-25316N|refseq:NP_506338|uniprotkb:O01301,DIP-26766N|refseq:NP_507060|uniprotkb:O45521,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41798E,dip-quality-status:,dip:0005(high throughput),,['Nucleus']
DIP-24724N|refseq:NP_505772|uniprotkb:Q19964,DIP-26766N|refseq:NP_507060|uniprotkb:O45521,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41800E,dip-quality-status:,dip:0005(high throughput),,['Nucleus']
DIP-27390N|refseq:NP_508164|uniprotkb:Q20198,DIP-26766N|refseq:NP_507060|uniprotkb:O45521,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41801E,dip-quality-status:,dip:0005(high throughput),,['Nucleus']
DIP-26766N|refseq:NP_507060|uniprotkb:O45521,DIP-26766N|refseq:NP_507060|uniprotkb:O45521,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41802E,dip-quality-status:,dip:0005(high throughput),['Nucleus'],['Nucleus']
DIP-26345N|refseq:NP_509821|uniprotkb:P53588,DIP-26766N|refseq:NP_507060|uniprotkb:O45521,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41803E,dip-quality-status:,dip:0005(high throughput),['Mitochondrion'],['Nucleus']
DIP-25739N|refseq:NP_508383|uniprotkb:Q9N5S5,DIP-26766N|refseq:NP_507060|uniprotkb:O45521,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41804E,dip-quality-status:,dip:0005(high throughput),,['Nucleus']
DIP-26766N|refseq:NP_507060|uniprotkb:O45521,DIP-25841N|refseq:NP_497135|uniprotkb:Q9TZ93,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41806E,dip-quality-status:,dip:0005(high throughput),['Nucleus'],['Nucleus']
DIP-24727N|refseq:NP_491539|uniprotkb:P91349,DIP-26766N|refseq:NP_507060|uniprotkb:O45521,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41807E,dip-quality-status:,dip:0005(high throughput),['Cytoplasm'],['Nucleus']
DIP-26766N|refseq:NP_507060|uniprotkb:O45521,DIP-25326N|refseq:NP_492752|uniprotkb:Q93831,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41808E,dip-quality-status:,dip:0005(high throughput),['Nucleus'],
DIP-26766N|refseq:NP_507060|uniprotkb:O45521,DIP-27410N|refseq:NP_499846|uniprotkb:Q9XUS3,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41810E,dip-quality-status:,dip:0005(high throughput),['Nucleus'],
DIP-24479N|uniprotkb:Q9TZI2,DIP-26766N|refseq:NP_507060|uniprotkb:O45521,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41812E,dip-quality-status:,dip:0005(high throughput),,['Nucleus']
DIP-26766N|refseq:NP_507060|uniprotkb:O45521,DIP-26754N|refseq:NP_491979|uniprotkb:Q9TZH9,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41813E,dip-quality-status:,dip:0005(high throughput),['Nucleus'],
DIP-25028N|refseq:NP_505389|uniprotkb:Q22551,DIP-26766N|refseq:NP_507060|uniprotkb:O45521,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41814E,dip-quality-status:,dip:0005(high throughput),,['Nucleus']
DIP-27334N|refseq:NP_503957|uniprotkb:P91471,DIP-26766N|refseq:NP_507060|uniprotkb:O45521,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41815E,dip-quality-status:,dip:0005(high throughput),,['Nucleus']
DIP-26766N|refseq:NP_507060|uniprotkb:O45521,DIP-25429N|refseq:NP_492976|uniprotkb:O45799,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41816E,dip-quality-status:,dip:0005(high throughput),['Nucleus'],
DIP-26766N|refseq:NP_507060|uniprotkb:O45521,DIP-25664N|uniprotkb:Q9N582,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41819E,dip-quality-status:,dip:0005(high throughput),['Nucleus'],
DIP-24849N|refseq:NP_501618|uniprotkb:Q9XWR1,DIP-26766N|refseq:NP_507060|uniprotkb:O45521,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41820E,dip-quality-status:,dip:0005(high throughput),,['Nucleus']
DIP-25467N|refseq:NP_502655|uniprotkb:O45946,DIP-26766N|refseq:NP_507060|uniprotkb:O45521,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41821E,dip-quality-status:,dip:0005(high throughput),['Cytoplasm'],['Nucleus']
DIP-25032N|refseq:NP_491166|uniprotkb:Q9N3T4,DIP-26766N|refseq:NP_507060|uniprotkb:O45521,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41822E,dip-quality-status:,dip:0005(high throughput),,['Nucleus']
DIP-26766N|refseq:NP_507060|uniprotkb:O45521,DIP-25758N|refseq:NP_740775|uniprotkb:Q9N2Z7,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41826E,dip-quality-status:,dip:0005(high throughput),['Nucleus'],
DIP-25978N|refseq:NP_498684|uniprotkb:P34611,DIP-26766N|refseq:NP_507060|uniprotkb:O45521,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41827E,dip-quality-status:,dip:0005(high throughput),['Cytoplasm'],['Nucleus']
DIP-26310N|refseq:NP_495921|uniprotkb:Q20414,DIP-26310N|refseq:NP_495921|uniprotkb:Q20414,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41830E,dip-quality-status:,dip:0005(high throughput),,
DIP-25416N|refseq:NP_509347|uniprotkb:Q09989,DIP-26810N|refseq:NP_493278|uniprotkb:O17723,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41832E,dip-quality-status:,dip:0005(high throughput),,
DIP-25885N|refseq:NP_498186|uniprotkb:Q19275,DIP-25416N|refseq:NP_509347|uniprotkb:Q09989,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41833E,dip-quality-status:,dip:0005(high throughput),,
DIP-24766N|refseq:NP_499771|uniprotkb:O62246,DIP-24621N|refseq:NP_491069|uniprotkb:Q9N4H7,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41834E,dip-quality-status:,dip:0005(high throughput),"['Cytoplasm', 'Golgi apparatus']",
DIP-25384N|refseq:NP_503729|uniprotkb:O61899,DIP-26194N|refseq:NP_495877|uniprotkb:P90814,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41836E,dip-quality-status:,dip:0005(high throughput),,
DIP-25290N|refseq:NP_501086|uniprotkb:Q17746,DIP-26800N|refseq:NP_508973|uniprotkb:Q20485,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41838E,dip-quality-status:,dip:0005(high throughput),,
DIP-25719N|refseq:NP_498224|uniprotkb:Q10929,DIP-25663N|refseq:NP_490860|uniprotkb:Q9Y048,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41857E,dip-quality-status:,dip:0005(high throughput),,['Cytoplasm']
DIP-26972N|refseq:NP_498266|uniprotkb:Q19088,DIP-26800N|refseq:NP_508973|uniprotkb:Q20485,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41840E,dip-quality-status:,dip:0005(high throughput),,
DIP-26800N|refseq:NP_508973|uniprotkb:Q20485,DIP-27354N|refseq:NP_496523|uniprotkb:Q20369,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41841E,dip-quality-status:,dip:0005(high throughput),,
DIP-26800N|refseq:NP_508973|uniprotkb:Q20485,DIP-27221N|refseq:NP_741103|uniprotkb:Q9N5N7,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41842E,dip-quality-status:,dip:0005(high throughput),,
DIP-26800N|refseq:NP_508973|uniprotkb:Q20485,DIP-24442N|refseq:NP_502593|uniprotkb:Q9XU77,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41843E,dip-quality-status:,dip:0005(high throughput),,
DIP-26800N|refseq:NP_508973|uniprotkb:Q20485,DIP-25664N|uniprotkb:Q9N582,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41844E,dip-quality-status:,dip:0005(high throughput),,
DIP-26800N|refseq:NP_508973|uniprotkb:Q20485,DIP-26093N|refseq:NP_504680|uniprotkb:O76449,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41845E,dip-quality-status:,dip:0005(high throughput),,
DIP-26800N|refseq:NP_508973|uniprotkb:Q20485,DIP-25590N|uniprotkb:P34609,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41846E,dip-quality-status:,dip:0005(high throughput),,['Cytoplasm']
DIP-26217N|refseq:NP_497978|uniprotkb:P46769,DIP-25520N|refseq:NP_508971|uniprotkb:Q20483,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41847E,dip-quality-status:,dip:0005(high throughput),['Cytoplasm'],
DIP-25520N|refseq:NP_508971|uniprotkb:Q20483,DIP-26222N|refseq:NP_504436|uniprotkb:Q22947,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41849E,dip-quality-status:,dip:0005(high throughput),,
DIP-25520N|refseq:NP_508971|uniprotkb:Q20483,DIP-24951N|refseq:NP_498362|uniprotkb:P46975,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41851E,dip-quality-status:,dip:0005(high throughput),,['Endoplasmic reticulum']
DIP-25384N|refseq:NP_503729|uniprotkb:O61899,DIP-26821N|refseq:NP_509217|uniprotkb:Q10454,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41852E,dip-quality-status:,dip:0005(high throughput),,
DIP-26733N|refseq:NP_740989|uniprotkb:Q8WQF7,DIP-26185N|refseq:NP_493453|uniprotkb:Q9XTS1,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41854E,dip-quality-status:,dip:0005(high throughput),,
DIP-26185N|refseq:NP_493453|uniprotkb:Q9XTS1,DIP-26245N|refseq:NP_499573|uniprotkb:Q9XW88,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41855E,dip-quality-status:,dip:0005(high throughput),,
DIP-25663N|refseq:NP_490860|uniprotkb:Q9Y048,DIP-24381N|refseq:NP_492793|uniprotkb:O44949,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41860E,dip-quality-status:,dip:0005(high throughput),['Cytoplasm'],
DIP-25663N|refseq:NP_490860|uniprotkb:Q9Y048,DIP-27211N|refseq:NP_509628|uniprotkb:Q09501,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41861E,dip-quality-status:,dip:0005(high throughput),['Cytoplasm'],['Cytoplasm']
DIP-25663N|refseq:NP_490860|uniprotkb:Q9Y048,DIP-24480N|refseq:NP_499395|uniprotkb:Q18603,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41862E,dip-quality-status:,dip:0005(high throughput),['Cytoplasm'],
DIP-27325N|refseq:NP_504969|uniprotkb:Q22936,DIP-25663N|refseq:NP_490860|uniprotkb:Q9Y048,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41863E,dip-quality-status:,dip:0005(high throughput),,['Cytoplasm']
DIP-25663N|refseq:NP_490860|uniprotkb:Q9Y048,DIP-24443N|refseq:NP_492085|uniprotkb:P10567,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41864E,dip-quality-status:,dip:0005(high throughput),['Cytoplasm'],['Cytoplasm']
DIP-25663N|refseq:NP_490860|uniprotkb:Q9Y048,DIP-26763N|uniprotkb:Q19286,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41865E,dip-quality-status:,dip:0005(high throughput),['Cytoplasm'],['Cytoplasm']
DIP-26381N|refseq:NP_505410|uniprotkb:Q27420,DIP-25663N|refseq:NP_490860|uniprotkb:Q9Y048,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41868E,dip-quality-status:,dip:0005(high throughput),,['Cytoplasm']
DIP-26975N|refseq:NP_501236|uniprotkb:Q94226,DIP-25663N|refseq:NP_490860|uniprotkb:Q9Y048,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41870E,dip-quality-status:,dip:0005(high throughput),,['Cytoplasm']
DIP-25663N|refseq:NP_490860|uniprotkb:Q9Y048,DIP-25832N|refseq:NP_491896|uniprotkb:O44742,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41871E,dip-quality-status:,dip:0005(high throughput),['Cytoplasm'],
DIP-26653N|refseq:NP_497019|uniprotkb:O62265,DIP-25663N|refseq:NP_490860|uniprotkb:Q9Y048,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41872E,dip-quality-status:,dip:0005(high throughput),,['Cytoplasm']
DIP-24519N|refseq:NP_510686|uniprotkb:Q21036,DIP-25663N|refseq:NP_490860|uniprotkb:Q9Y048,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41873E,dip-quality-status:,dip:0005(high throughput),,['Cytoplasm']
DIP-25663N|refseq:NP_490860|uniprotkb:Q9Y048,DIP-25326N|refseq:NP_492752|uniprotkb:Q93831,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41874E,dip-quality-status:,dip:0005(high throughput),['Cytoplasm'],
DIP-25663N|refseq:NP_490860|uniprotkb:Q9Y048,DIP-24946N|refseq:NP_741706|uniprotkb:Q21580,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41877E,dip-quality-status:,dip:0005(high throughput),['Cytoplasm'],
DIP-26000N|refseq:NP_509494|uniprotkb:Q9GYL1,DIP-25663N|refseq:NP_490860|uniprotkb:Q9Y048,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41878E,dip-quality-status:,dip:0005(high throughput),,['Cytoplasm']
DIP-25663N|refseq:NP_490860|uniprotkb:Q9Y048,DIP-24726N|refseq:NP_740861|uniprotkb:P91503,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41880E,dip-quality-status:,dip:0005(high throughput),['Cytoplasm'],
DIP-26945N|refseq:NP_499556|uniprotkb:O76463,DIP-25663N|refseq:NP_490860|uniprotkb:Q9Y048,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41885E,dip-quality-status:,dip:0005(high throughput),,['Cytoplasm']
DIP-24983N|refseq:NP_507518|uniprotkb:Q9NES0,DIP-25663N|refseq:NP_490860|uniprotkb:Q9Y048,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41886E,dip-quality-status:,dip:0005(high throughput),,['Cytoplasm']
DIP-25663N|refseq:NP_490860|uniprotkb:Q9Y048,DIP-27239N|refseq:NP_001022951|uniprotkb:Q9U1S2,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41887E,dip-quality-status:,dip:0005(high throughput),['Cytoplasm'],
DIP-27165N|refseq:NP_495523|uniprotkb:Q09487,DIP-25997N|refseq:NP_741137|uniprotkb:Q09397,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41889E,dip-quality-status:,dip:0005(high throughput),,
DIP-24566N|refseq:NP_509936|uniprotkb:Q20654,DIP-27320N|refseq:NP_505475|uniprotkb:Q9XVL1,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41901E,dip-quality-status:,dip:0005(high throughput),,
DIP-25249N|refseq:NP_491339|uniprotkb:P91151,DIP-24392N|refseq:NP_508530|uniprotkb:Q20678,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41904E,dip-quality-status:,dip:0005(high throughput),,
DIP-25017N|refseq:NP_508117|uniprotkb:Q19861,DIP-24392N|refseq:NP_508530|uniprotkb:Q20678,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41905E,dip-quality-status:,dip:0005(high throughput),,
DIP-24392N|refseq:NP_508530|uniprotkb:Q20678,DIP-27252N|refseq:NP_491895|uniprotkb:O44741,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41906E,dip-quality-status:,dip:0005(high throughput),,
DIP-24392N|refseq:NP_508530|uniprotkb:Q20678,DIP-26188N|refseq:NP_502696|uniprotkb:Q9XTH8,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41907E,dip-quality-status:,dip:0005(high throughput),,
DIP-26637N|refseq:NP_492620|uniprotkb:Q9XTC6,DIP-27336N|refseq:NP_501136|uniprotkb:Q18577,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41908E,dip-quality-status:,dip:0005(high throughput),,
DIP-26637N|refseq:NP_492620|uniprotkb:Q9XTC6,DIP-26405N|refseq:NP_497731|uniprotkb:P41829,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41909E,dip-quality-status:,dip:0005(high throughput),,['Nucleus']
DIP-26637N|refseq:NP_492620|uniprotkb:Q9XTC6,DIP-25881N|refseq:NP_490676|uniprotkb:O01802,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41910E,dip-quality-status:,dip:0005(high throughput),,
DIP-26742N|refseq:NP_504695|uniprotkb:Q23012,DIP-26637N|refseq:NP_492620|uniprotkb:Q9XTC6,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41911E,dip-quality-status:,dip:0005(high throughput),,
DIP-26773N|refseq:NP_508239|uniprotkb:Q18776,DIP-24444N|refseq:NP_495817|uniprotkb:Q20759,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41930E,dip-quality-status:,dip:0005(high throughput),,
DIP-25433N|refseq:NP_497481|uniprotkb:O17218,DIP-26873N|refseq:NP_499291|uniprotkb:Q18516,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41914E,dip-quality-status:,dip:0005(high throughput),,
DIP-27006N|refseq:NP_509334|uniprotkb:Q18529,DIP-25661N|refseq:NP_490799|uniprotkb:Q9TYT3,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41917E,dip-quality-status:,dip:0005(high throughput),,"['Cytoplasm', 'Nucleus']"
DIP-25661N|refseq:NP_490799|uniprotkb:Q9TYT3,DIP-24753N|refseq:NP_001024771|uniprotkb:Q21307,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41918E,dip-quality-status:,dip:0005(high throughput),"['Cytoplasm', 'Nucleus']",
DIP-24926N|refseq:NP_492628|uniprotkb:Q9XWQ1,DIP-26115N|refseq:NP_510276|uniprotkb:Q20737,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41919E,dip-quality-status:,dip:0005(high throughput),,
DIP-25374N|uniprotkb:O44732,DIP-25949N|uniprotkb:O44656,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41931E,dip-quality-status:,dip:0005(high throughput),,
DIP-25616N|refseq:NP_505702|uniprotkb:Q19775,DIP-26150N|refseq:NP_498086|uniprotkb:Q20778,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41932E,dip-quality-status:,dip:0005(high throughput),,
DIP-25820N|refseq:NP_510300|uniprotkb:Q9XUY5,DIP-27311N|refseq:NP_492422|uniprotkb:O62236,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41944E,dip-quality-status:,dip:0005(high throughput),,
DIP-27144N|refseq:NP_499734|uniprotkb:O45577,DIP-25146N|refseq:NP_740883|uniprotkb:O18672,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41945E,dip-quality-status:,dip:0005(high throughput),,
DIP-24936N|refseq:NP_498295|uniprotkb:Q09542,DIP-27144N|refseq:NP_499734|uniprotkb:O45577,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41946E,dip-quality-status:,dip:0005(high throughput),,
DIP-26087N|refseq:NP_495176|uniprotkb:Q20813,DIP-25266N|refseq:NP_499981|uniprotkb:O45115,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41949E,dip-quality-status:,dip:0005(high throughput),,
